Date,Amount Spent,Store,Product,Type of Transaction,Individual Price,Quantity Purchased,Sales Tax,Expenses,Bills,Total Spent,Total Sales Tax,Planned Spending,Name,Cost,Tax,Total,Type of Transaction,,Part Number,,Expected Cost
,,,Large Drink,Food & Drink,$2.69,1,,,,,,,,,,,,,,,
1/13/2016,$251.88,MINI Financial,,,,,$11.21,,,,,,,,,,,,,,
,,,Principal Payment,Bill,$240.67,1,,,,,,,,,,,,,,,
1/15/2016,$7.83,Arco,,,,,$0.21,,,,,,,,,,,,,,
,,,Hot Cheetos,Food & Drink,$3.49,1,,,,,,,,,,,,,,,
,,,Hot Cheetos,Food & Drink,$1.49,1,,,,,,,,,,,,,,,
,,,Diet Coke,Food & Drink,$2.19,1,,,,,,,,,,,,,,,
1/16/2016,$7.87,Food 4 Less,,,,,$0.59,,,,,,,,,,,,,,
,,,Hershey Cookies and Cream,Food & Drink,$0.69,1,,,,,,,,,,,,,,,
,,,Sprite Zero,Food & Drink,$5.99,1,,,,,,,,,,,,,,,
1/17/2016,$10.16,76 Gas,,,,,0,,,,,,,,,,,,,,
,,,Preminum Gas,Gas,$3.28,3.099,,,,,,,,,,,,,,,
1/18/2016,$6.16,Food 4 Less,,,,,$0.28,,,,,,,,,,,,,,
,,,Sun Chips ,Food & Drink,$2.79,1,,,,,,,,,,,,,,,
,,,Big K Diet Dr. K,Food & Drink,$2.49,1,,,,,,,,,,,,,,,
1/19/2016,$158.01,MINI Financial,,,,,$9.50,,,,,,,,,,,,,,
,,,Principal Payment,Bill,$158.01,1,,,,,,,,,,,,,,,
1/19/2016,$4.78,FedEx,,,,,$0,,,,,,,,,,,,,,
,,,Print,Job Search,$4.78,1,,,,,,,,,,,,,,,
1/19/2016,$2.98,Walmart,,,,,$0,,,,,,,,,,,,,,
,,,Oreo Red Velvet,Food & Drink,$2.98,1,,,,,,,,,,,,,,,
1/20/2016,$19.01,Food 4 Less,,,,,$0.83,,,,,,,,,,,,,,
,,,Water,Food & Drink,$0.89,9,,,,,,,,,,,,,,,
,,,Big K Diet Drink,Food & Drink,$2.49,3,,,,,,,,,,,,,,,
1/20/2016,$20.00,Chevron,,,,,$0,,,,,,,,,,,,,,
,,,Premium Gas,Gas,$3.16,6.331,,,,,,,,,,,,,,,
1/20/2016,$6.00,Regency Norwalk 8,,,,,$0,,,,,,,,,,,,,,
,,,Movie Ticket,Personal,$3.00,2,,,,,,,,,,,,,,,
1/21/2016,$8.71,Bell Thrift,,,,,$0.72,,,,,,,,,,,,,,
,,,Shirt,Personal,$7.99,1,,,,,,,,,,,,,,,
1/23/2016,$5.43,Northgate Market,,,,,$0.45,,,,,,,,,,,,,,
,,,Champurrado,Food & Drink,$2.49,2,,,,,,,,,,,,,,,
1/23/2016,$18.41,Food 4 Less,,,,,$1.52,,,,,,,,,,,,,,
,,,Bud Light Platinum,Food & Drink,$15.99,1,,,,,,,,,,,,,,,
1/24/2016,$5.96,7-Eleven,,,,,$0.37,,,,,,,,,,,,,,
,,,Monster Energy,Food & Drink,$2.59,1,,,,,,,,,,,,,,,
,,,Monster Zero Ultra,Food & Drink,$2.59,1,,,,,,,,,,,,,,,
1/25/2016,$79.00,Coursera,,,,,$0.00,,,,,,,,,,,,,,
,,,Course Certificate for Data Structures,Job Search,$79.00,1,,,,,,,,,,,,,,,
1/25/2016,$79.00,Coursera,,,,,$0.00,,,,,,,,,,,,,,
,,,Course Certificate for Programming for Everybody,Job Search,$79.00,1,,,,,,,,,,,,,,,
1/25/2016,$6.69,Tom's Jr,,,,,$0.56,,,,,,,,,,,,,,
,,,Curly Fries,Food & Drink,$2.99,1,,,,,,,,,,,,,,,
,,,Large Diet Coke,Food & Drink,$2.59,1,,,,,,,,,,,,,,,
,,,ATM Fee,Service Fee,$0.55,1,,,,,,,,,,,,,,,
1/27/2016,$9.68,Subway,,,,,$0.68,,,,,,,,,,,,,,
,,,Veggie Patty,Food & Drink,$4.75,1,,,,,,,,,,,,,,,
,,,Avocado,Food & Drink,$0.75,1,,,,,,,,,,,,,,,
,,,Bottled Drink,Food & Drink,$2.00,1,,,,,,,,,,,,,,,
,,,Cookie,Food & Drink,$1.50,3,,,,,,,,,,,,,,,
1/27/2016,$2.09,7-Eleven,,,,,$0,,,,,,,,,,,,,,
,,,Coffee,Food & Drink,$2.09,1,,,,,,,,,,,,,,,
1/27/2016,$5.87,Food 4 Less,,,,,$0.28,,,,,,,,,,,,,,
